function,description
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K15449,TYW1; tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]
K15460,"yfiC, trmX; tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]"
K15461,mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
K15468,pksS; cytochrome P450 PksS
K15469,rhiG; rhizoxin biosynthesis acyltransferase
K15474,enhC; enhanced entry protein EnhC
K15475,lpnE; enhanced entry protein LpnE
K15476,vipA; VPS inhibitor protein A
K15477,vipD; VPS inhibitor protein D
K15479,ralF; guanine nucleotide exchange protein RalF
K15481,lidA; effector protein LidA
K15486,legK1; serine/threonine-protein kinase LegK1 [EC:2.7.1.-]
K15487,sdbA; effector protein SdbA
K15490,lgt1_2_3; glucosyltransferase Lgt1/2/3
K15491,sidI; effector protein SidI
K15492,"K15492, lepB; effector protein B"
K15495,wtpA; molybdate/tungstate transport system substrate-binding protein
K15496,wtpB; molybdate/tungstate transport system permease protein
K15497,wtpC; molybdate/tungstate transport system ATP-binding protein [EC:3.6.3.- 3.6.3.55]
K15509,hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K15510,fgd1; coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]
K15511,"boxA; benzoyl-CoA 2,3-epoxidase subunit A [EC:1.14.13.208]"
K15512,"boxB; benzoyl-CoA 2,3-epoxidase subunit B [EC:1.14.13.208]"
K15513,boxC; benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44]
K15514,"boxD; 3,4-dehydroadipyl-CoA semialdehyde dehydrogenase [EC:1.2.1.77]"
K15515,sauS; sulfoacetaldehyde dehydrogenase [EC:1.2.1.81]
K15518,dgk; deoxyguanosine kinase [EC:2.7.1.113]
K15519,dck; deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74]
K15520,mshD; mycothiol synthase [EC:2.3.1.189]
K15521,mshA; D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]
K15524,mngB; mannosylglycerate hydrolase [EC:3.2.1.170]
K15525,mshB; N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase [EC:3.5.1.103]
K15526,mshC; L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]
K15527,K15527; cysteate synthase [EC:2.5.1.76]
K15531,rexA; oligosaccharide reducing-end xylanase [EC:3.2.1.156]
K15532,"yteR, yesR; unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]"
K15533,"K15533; 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211]"
K15534,K15534; beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase [EC:2.4.1.247]
K15536,cybC; soluble cytochrome b562
K15538,"MANEA; glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130]"
K15539,rodZ; cytoskeleton protein RodZ
K15540,ecpD; chaperone protein EcpD
K15545,mlc; transcriptional regulator of PTS gene
K15546,"boxR, bzdR; XRE family transcriptional regulator, aerobic/anaerobic benzoate catabolism transcriptional regulator"
K15547,mdtO; multidrug resistance protein MdtO
K15548,aaeA; p-hydroxybenzoic acid efflux pump subunit AaeA
K15549,"mdtN; membrane fusion protein, multidrug efflux system"
K15550,"mdtP; outer membrane protein, multidrug efflux system"
K15551,tauA; taurine transport system substrate-binding protein
K15552,tauC; taurine transport system permease protein
K15553,ssuA; sulfonate transport system substrate-binding protein
K15554,ssuC; sulfonate transport system permease protein
K15555,ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-]
K15576,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein"
K15577,"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein"
K15578,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]"
K15579,"nrtD, cynD; nitrate/nitrite transport system ATP-binding protein"
K15580,"oppA, mppA; oligopeptide transport system substrate-binding protein"
K15581,oppB; oligopeptide transport system permease protein
K15582,oppC; oligopeptide transport system permease protein
K15583,oppD; oligopeptide transport system ATP-binding protein
K15584,nikA; nickel transport system substrate-binding protein
K15585,nikB; nickel transport system permease protein
K15586,nikC; nickel transport system permease protein
K15587,nikD; nickel transport system ATP-binding protein [EC:3.6.3.24]
K15598,thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein
K15599,thiX; putative hydroxymethylpyrimidine transport system permease protein
K15600,thiZ; putative hydroxymethylpyrimidine transport system ATP-binding protein
K15629,CYP152A; fatty-acid peroxygenase [EC:1.11.2.4]
K15632,cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]
K15633,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15634,gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
K15635,"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15640,"K15640, phoE; uncharacterized phosphatase"
K15642,mxaD; myxalamid-type polyketide synthase MxaD
K15643,mxaB; myxalamid-type polyketide synthase MxaB
K15650,"cmaB; non-haem Fe2+, alpha-ketoglutarate-dependent halogenase"
K15652,asbF; 3-dehydroshikimate dehydratase [EC:4.2.1.118]
K15653,mxcG; nonribosomal peptide synthetase MxcG
K15654,"srfAA, lchAA; surfactin family lipopeptide synthetase A"
K15655,"srfAB, lchAB; surfactin family lipopeptide synthetase B"
K15656,"srfAC, lchAC; surfactin family lipopeptide synthetase C"
K15657,"srfATE, srfAD, lchAD; external thioesterase TEII"
K15658,"ofaA, arfA; arthrofactin-type cyclic lipopeptide synthetase A"
K15659,"ofaB, arfB; arthrofactin-type cyclic lipopeptide synthetase B"
K15660,"ofaC, arfC; arthrofactin-type cyclic lipopeptide synthetase C"
K15662,"ituB, mycB, bmyB; iturin family lipopeptide synthetase B"
K15667,"K15667, ppsD, fenA; fengycin family lipopeptide synthetase D"
K15668,"K15668, ppsE, fenB; fengycin family lipopeptide synthetase E"
K15669,hddC; D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase [EC:2.7.7.71]
K15679,"rhiF; rhizoxin biosynthesis, polyketide synthase RhiF"
K15681,mxcL; aminotransferase MxcL
K15721,fyuA; pesticin/yersiniabactin receptor
K15722,cedA; cell division activator
K15723,syd; SecY interacting protein Syd
K15724,erpA; iron-sulfur cluster insertion protein
K15725,"czcC; outer membrane protein, cobalt-zinc-cadmium efflux system"
K15726,czcA; cobalt-zinc-cadmium resistance protein CzcA
K15727,"czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system"
K15728,LPIN; phosphatidate phosphatase LPIN [EC:3.1.3.4]
K15731,CTDSP; carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [EC:3.1.3.16]
K15733,E1.11.1.19; dye decolorizing peroxidase [EC:1.11.1.19]
K15734,SDR16C5; all-trans-retinol dehydrogenase (NAD+) [EC:1.1.1.105]
K15735,"csiR; GntR family transcriptional regulator, carbon starvation induced regulator"
K15736,lhgO; L-2-hydroxyglutarate oxidase [EC:1.1.3.-]
K15737,csiD; protein CsiD
K15738,uup; ABC transport system ATP-binding/permease protein
K15739,"vanB, vanA, vanD; D-alanine---(R)-lactate ligase [EC:6.1.2.1]"
K15740,mptN; tetrahydromethanopterin:alpha-L-glutamate ligase [EC:6.3.2.33]
K15746,crtZ; beta-carotene 3-hydroxylase [EC:1.14.15.24]
K15755,"carBb; 2'-aminobiphenyl-2,3-diol 1,2-dioxygenase, large subunit [EC:1.13.11.-]"
K15760,"tmoA, tbuA1, touA; toluene monooxygenase system protein A [EC:1.14.13.236 1.14.13.-]"
K15761,"tmoB, tbuU, touB; toluene monooxygenase system protein B [EC:1.14.13.236 1.14.13.-]"
K15762,"tmoC, tbuB, touC; toluene monooxygenase system ferredoxin subunit"
K15763,"tmoD, tbuV, touD; toluene monooxygenase system protein D [EC:1.14.13.236 1.14.13.-]"
K15764,"tmoE, tbuA2, touE; toluene monooxygenase system protein E [EC:1.14.13.236 1.14.13.-]"
K15765,"tmoF, tbuC, touF; toluene monooxygenase electron transfer component [EC:1.18.1.3]"
K15770,"cycB, ganO; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein"
K15771,ganP; arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15772,ganQ; arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15773,hipB; HTH-type transcriptional regulator / antitoxin HipB
K15777,"DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"
K15778,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K15780,tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]
K15781,serB-plsC; putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase [EC:3.1.3.3 2.3.1.51]
K15782,"doeX; Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes"
K15783,doeA; ectoine hydrolase [EC:3.5.4.44]
K15784,"doeB; N2-acetyl-L-2,4-diaminobutanoate deacetylase [EC:3.5.1.125]"
K15785,"doeD; L-2,4-diaminobutyrate transaminase [EC:2.6.1.76]"
K15786,doeC; aspartate-semialdehyde dehydrogenase [EC:1.2.1.-]
K15790,nifQ; nitrogen fixation protein NifQ
K15792,murEF; murE/murF fusion protein [EC:6.3.2.13 6.3.2.10]
K15827,hycB; formate hydrogenlyase subunit 2
K15828,hycC; formate hydrogenlyase subunit 3
K15829,hycD; formate hydrogenlyase subunit 4
K15830,hycE; formate hydrogenlyase subunit 5
K15831,hycF; formate hydrogenlyase subunit 6
K15832,hycG; formate hydrogenlyase subunit 7
K15833,hycA; formate hydrogenlyase regulatory protein HycA
K15834,hycH; formate hydrogenlyase maturation protein HycH
K15835,"murR; RpiR family transcriptional regulator, murPQ operon repressor"
K15836,fhlA; formate hydrogenlyase transcriptional activator
K15849,"PAT, AAT; bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [EC:2.6.1.1 2.6.1.78 2.6.1.79]"
K15850,"luxN; two-component system, autoinducer 1 sensor kinase/phosphatase LuxN [EC:2.7.13.3 3.1.3.-]"
K15852,"luxR, vanR; LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon"
K15855,"csxA; exo-1,4-beta-D-glucosaminidase [EC:3.2.1.165]"
K15856,rmd; GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]
K15857,"ascE; CDP-3, 6-dideoxy-D-glycero-D-glycero-4-hexulose-5-epimerase [EC:5.1.-.-]"
K15861,"fixK; CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein"
K15862,ccoNO; cytochrome c oxidase cbb3-type subunit I/II [EC:1.9.3.1]
K15864,nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
K15866,"paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]"
K15868,baiB; bile acid-coenzyme A ligase [EC:6.2.1.7]
K15869,baiA; 3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]
K15870,baiCD; NAD+-dependent 7alpha-hydroxy-3-oxo bile acid-CoA-ester 4-dehydrogenase
K15871,baiF; bile acid CoA-transferase [EC:2.8.3.25]
K15872,baiE; bile-acid 7alpha-dehydratase [EC:4.2.1.106]
K15873,baiH; NAD+-dependent 7beta-hydroxy-3-oxo bile acid-CoA-ester 4-dehydrogenase
K15874,baiI; bile acid 7beta-dehydratase
K15876,nrfH; cytochrome c nitrite reductase small subunit
K15878,"K15878, narB; rieske iron-sulphur protein"
K15879,narC; cytochrome b-561
K15888,"uppS, cpdS; tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific] [EC:2.5.1.89]"
K15894,"pseB; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.115]"
K15895,"pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]"
K15896,"pseH; UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase [EC:2.3.1.202]"
K15897,"pseG; UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [EC:3.6.1.57]"
K15898,"pseI, neuB3; pseudaminic acid synthase [EC:2.5.1.97]"
K15899,pseF; pseudaminic acid cytidylyltransferase [EC:2.7.7.81]
K15904,kae1-bud32; bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]
K15907,"ptlI, CYP183A; pentalenene oxygenase [EC:1.14.13.133]"
K15910,pglE; UDP-N-acetylbacillosamine transaminase [EC:2.6.1.34]
K15912,"pglF; UDP-N-acetyl-D-glucosamine 4,6-dehydratase [EC:4.2.1.135]"
K15913,pglD; UDP-N-acetylbacillosamine N-acetyltransferase [EC:2.3.1.203]
K15914,"pglA; N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.290]"
K15915,"pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase [EC:2.7.8.36]"
K15916,pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K15918,GLYK; D-glycerate 3-kinase [EC:2.7.1.31]
K15921,xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]
K15922,yihQ; sulfoquinovosidase [EC:3.2.1.199]
K15923,"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]"
K15924,"xynC; glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]"
K15926,jadI; cyclase
K15927,jadF; oxygenase
K15928,jadH; bifunctional hydroxylase/dehydrase
K15930,lndM2; bifunctional oxygenase/reductase
K15931,lndGT2; glycosyltransferase
K15942,"snoaC, dnrC, dauC, aknG; O-methyltransferase / aklanonic acid methyltransferase [EC:2.1.1.- 2.1.1.288]"
K15948,aknK; aclacinomycin-T 2-deoxy-L-fucose transferase [EC:2.4.1.327]
K15949,aknOx; aclacinomycin-N/aclacinomycin-A oxidase [EC:1.1.3.45 1.3.3.14]
K15956,dnrU; daunorubicin C-13 ketoreductase
K15972,"tcmG, elmG; tetracenomycin A2 monooxygenase-dioxygenase [EC:1.14.13.200]"
K15973,"mhqR; MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor"
K15974,"emrR, mprA; MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB"
K15975,K15975; glyoxalase family protein
K15976,K15976; putative NAD(P)H nitroreductase [EC:1.-.-.-]
K15977,K15977; putative oxidoreductase
K15980,ACAD9; acyl-CoA dehydrogenase family member 9 [EC:1.3.99.-]
K15981,CYP125A; cholest-4-en-3-one 26-monooxygenase [EC:1.14.13.141]
K15982,kshA; 3-ketosteroid 9alpha-monooxygenase subunit A [EC:1.14.13.142]
K15983,kshB; 3-ketosteroid 9alpha-monooxygenase subunit B [EC:1.14.13.142]
K15984,rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]
K15986,ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]
K15987,hppA; K(+)-stimulated pyrophosphate-energized sodium pump [EC:3.6.1.1]
K15995,tylE; demethylmacrocin O-methyltransferase [EC:2.1.1.102]
K16004,desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]
K16011,"algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]"
K16012,"cydC; ATP-binding cassette, subfamily C, bacterial CydC"
K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD"
K16014,"cydCD; ATP-binding cassette, subfamily C, bacterial CydCD"
K16016,"rifK, asm24, asm43; 3-amino-5-hydroxybenzoate synthase [EC:4.2.1.144 2.6.1.-]"
K16017,"rifM, asm45; AHBA synthesis associated protein"
K16020,"rifG, asm47; 5-deoxy-5-amino-3-dehydroquinate synthase"
K16022,rif19; flavoprotein hydroxylase
K16039,asm25; N-glycosyltransferase [EC:2.4.1.-]
K16042,nleH; non-LEE-encoded effector NleH
K16043,iolX; scyllo-inositol 2-dehydrogenase (NAD+) [EC:1.1.1.370]
K16044,iolW; scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]
K16045,hsd; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K16046,CYP142; cholest-4-en-3-one 26-monooxygenase [EC:1.14.13.221]
K16047,"hsaA; 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase [EC:1.14.14.12]"
K16048,"hsaB; 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component [EC:1.5.1.-]"
K16049,"hsaC; 3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase [EC:1.13.11.25]"
K16050,"hsaD; 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase [EC:3.7.1.17]"
K16051,tesI; 3-oxo-5alpha-steroid 4-dehydrogenase [EC:1.3.99.5]
K16052,"ynaI, mscMJ; MscS family membrane protein"
K16053,"ybdG, mscM; miniconductance mechanosensitive channel"
K16054,DEP1; methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77]
K16055,TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
K16066,ydfG; 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]
K16074,zntB; zinc transporter
K16076,"nmpC, ompD; outer membrane porin protein LC"
K16077,scrY; sucrose porin
K16078,ail; attachment invasion locus protein
K16079,omp31; outer membrane immunogenic protein
K16080,mnoP; high affinity Mn2+ porin
K16081,algE; alginate production protein
K16087,"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein"
K16088,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid"
K16089,"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
K16090,fiu; catecholate siderophore receptor
K16091,fecA; Fe(3+) dicitrate transport protein
K16092,btuB; vitamin B12 transporter
K16096,grsA; gramicidin S synthase 1
K16097,grsB; gramicidin S synthase 2
K16102,vioO; nonribosomal peptide synthetase protein VioO
K16117,snbC; pristinamycin I synthase 2
K16118,snbDE; pristinamycin I synthase 3 and 4
K16121,licC; lichenysin synthetase C
K16122,tycA; tyrocidine synthetase I
K16123,tycB; tyrocidine synthetase II
K16124,tycC; tyrocidine synthetase III
K16125,syrE; syringomycin synthetase protein SyrE
K16126,syrB1; Syringomycin synthetase protein SyrB1
K16127,mcyG; microcystin synthetase protein McyG
K16130,mcyA; microcystin synthetase protein McyA
K16135,"dmlR; LysR family transcriptional regulator, transcriptional activator for dmlA"
K16136,"malI; LacI family transcriptional regulator, maltose regulon regulatory protein"
K16137,"nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon"
K16138,"uidR; TetR/AcrR family transcriptional regulator, repressor for uid operon"
K16139,"uidB, gusB; glucuronide carrier protein"
K16140,"uidC, gusC; putative glucuronide porin"
K16146,pep2; maltokinase [EC:2.7.1.175]
K16147,glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]
K16148,glgM; alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
K16149,"K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
K16150,K16150; glycogen synthase [EC:2.4.1.11]
K16152,hasR; heme acquisition protein HasR
K16153,K16153; glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]
K16163,K16163; maleylpyruvate isomerase [EC:5.2.1.4]
K16164,K16164; acylpyruvate hydrolase [EC:3.7.1.5]
K16165,nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]
K16167,"bpsA, srsA, pks11, pks10; alkylresorcinol/alkylpyrone synthase"
K16168,"bpsB, srsB; methyltransferase"
K16169,pbuX; xanthine permease
K16171,faaH; fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
K16173,acd; glutaryl-CoA dehydrogenase (non-decarboxylating) [EC:1.3.99.32]
K16176,mtmB; methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]
K16178,mtbB; dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]
K16179,mtbC; dimethylamine corrinoid protein
K16180,pylB; methylornithine synthase [EC:5.4.99.58]
K16181,pylC; pyrrolysine biosynthesis protein PylC
K16182,pylD; pyrrolysine biosynthesis protein PylD
K16188,ytpB; tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]
K16190,GLCAK; glucuronokinase [EC:2.7.1.43]
K16191,"K16191, arfA; peptidoglycan-binding protein ArfA"
K16199,dppE; dipeptide transport system substrate-binding protein
K16200,dppB1; dipeptide transport system permease protein
K16201,dppC; dipeptide transport system permease protein
K16202,dppD; dipeptide transport system ATP-binding protein
K16203,dppA1; D-amino peptidase [EC:3.4.11.-]
K16209,"lacS, galP, rafP; lactose/raffinose/galactose permease"
K16210,"togT, rhiT; oligogalacturonide transporter"
K16211,"malY, malT; maltose/moltooligosaccharide transporter"
K16212,mgp; 4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]
K16213,"cbe, mbe; cellobiose epimerase [EC:5.1.3.11]"
K16214,pezT; UDP-N-acetylglucosamine kinase [EC:2.7.1.176]
K16216,yueD; benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]
K16217,gppmt; geranyl diphosphate 2-C-methyltransferase [EC:2.1.1.255]
K16218,mibs; 2-methylisoborneol synthase [EC:4.2.3.118]
K16227,gplH; glycopeptidolipid biosynthesis protein
K16232,gcs; germicidin synthase
K16233,pks18; alpha-pyrone synthase
K16234,hutT; histidine transporter
K16235,mmuP; S-methylmethionine transporter
K16236,hutM; histidine permease
K16237,aroP; aromatic amino acid permease
K16238,"eat, eutP; ethanolamine permease"
K16242,"dmpN, poxD; phenol hydroxylase P3 protein [EC:1.14.13.-]"
K16243,"dmpL, poxC; Phenol hydroxylase P1 protein"
K16244,"dmpM, poxB; phenol hydroxylase P2 protein"
K16245,"dmpO, poxE; phenol hydroxylase P4 protein"
K16246,"dmpP, poxF; phenol hydroxylase P5 protein"
K16247,"gutR; LuxR family transcriptional regulator, glucitol operon activator"
K16248,"gutA, gutP; probable glucitol transport protein GutA"
K16249,"dmpK, poxA; phenol hydroxylase P0 protein"
K16254,mxaJ; mxaJ protein
K16255,mxaG; cytochrome c-L
K16256,mxaA; mxaA protein
K16257,mxaC; mxaC protein
K16258,mxaK; mxaK protein
K16259,mxaL; mxaL protein
K16260,mxaD; mxaD protein
K16263,yjeH; amino acid efflux transporter
K16264,"czcD, zitB; cobalt-zinc-cadmium efflux system protein"
K16267,zipB; zinc and cadmium transporter
K16291,"erfK; L,D-transpeptidase ErfK/SrfK"
K16293,psrB; polysulfide reductase chain B
K16294,psrC; polysulfide reductase chain C
K16299,"eexD; ATP-binding cassette, subfamily C, bacterial EexD"
K16300,"eexE; membrane fusion protein, epimerase transport system"
K16301,efeB; deferrochelatase/peroxidase EfeB [EC:1.11.1.-]
K16305,K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
K16306,"K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
K16317,trmY; tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]
K16318,trm14; tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]
K16319,"andAc; anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]"
K16320,"andAd; anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]"
K16321,gntP; high-affinity gluconate transporter
K16322,pit; low-affinity inorganic phosphate transporter
K16323,"yxjA, nupG; purine nucleoside transport protein"
K16324,psuT; putative pseudouridine transporter
K16325,nupX; nucleoside permease
K16326,"yeiL; CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator"
K16327,K16327; putative LysE/RhtB family amino acid efflux pump
K16328,psuK; pseudouridine kinase [EC:2.7.1.83]
K16329,psuG; pseudouridylate synthase [EC:4.2.1.70]
K16331,"ylnA, cysP; sulfate permease"
K16345,xanP; xanthine permease XanP
K16346,xanQ; xanthine permease XanQ
K16347,ecnA; entericidin A
K16348,ecnB; entericidin B
K16363,lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]
K16368,DGK1; diacylglycerol kinase (CTP) [EC:2.7.1.174]
K16370,pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16371,"gatZ-kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ"
K16421,"hmaS, nocF; 4-hydroxymandelate synthase [EC:1.13.11.46]"
K16422,"hmo, nocN; 4-hydroxymandelate oxidase [EC:1.1.3.46]"
K16423,"hpgT, nocG; (S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]"
K16427,"dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]"
K16431,"cepH, sgcC3, mdpC3, kedY3; FAD-dependent halogenase [EC:1.14.19.-]"
K16435,"evaA, eryBVI, tylCVI, tylX3, staJ; dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]"
K16436,"evaB, megDII, angB, staI; dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]"
K16438,"evaD, eryBVII, aveBV, megDIV, staE; 5-epimerase [EC:5.1.3.-]"
K16444,"gtfB, gtfE; vancomycin aglycone glucosyltransferase [EC:2.4.1.310]"
K16509,spxA; regulatory protein spx
K16511,mecA1_2; adapter protein MecA 1/2
K16514,galD; 4-oxalomesaconate tautomerase [EC:5.3.2.8]
K16515,galB; 4-oxalomesaconate hydratase [EC:4.2.1.83]
K16516,"galR; LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway"
K16517,galP; porin-like protein GalP
K16552,exoF; polysaccharide biosynthesis/export protein ExoF
K16553,exoT; succinoglycan exporter
K16554,"exoP, vpsO; polysaccharide biosynthesis transport protein"
K16555,exoO; succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]
K16556,exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]
K16557,exoA; succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]
K16558,exoL; succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]
K16559,"exoK; endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]"
K16560,exoH; succinoglycan biosynthesis protein ExoH
K16562,exoW; succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]
K16563,exoV; succinoglycan biosynthesis protein ExoV
K16564,exoU; succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]
K16565,exoX; exopolysaccharide production repressor protein
K16566,exoY; exopolysaccharide production protein ExoY
